DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,year,LapTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,LapStartTime,PitInTime,PitOutTime,LapStartDate
4,1.0,1.0,297.0,233.0,234.0,293.0,False,MEDIUM,1.0,True,McLaren,124,1.0,False,2025,88.861,,0 days 00:00:31.326000,0 days 00:00:36.909000,,0 days 01:12:00.537000,0 days 01:12:37.527000,0 days 01:11:08.287000,,,2025-06-29 13:18:01.080
4,2.0,1.0,131.0,186.0,212.0,165.0,True,MEDIUM,2.0,True,McLaren,4,1.0,False,2025,114.426,0 days 00:00:26.438000,0 days 00:00:53.661000,0 days 00:00:34.327000,0 days 01:13:03.884000,0 days 01:13:57.545000,0 days 01:14:31.872000,0 days 01:12:37.412000,,,2025-06-29 13:19:30.205
4,3.0,1.0,137.0,159.0,271.0,172.0,True,MEDIUM,3.0,True,McLaren,41,1.0,False,2025,113.022,0 days 00:00:26.434000,0 days 00:00:50.148000,0 days 00:00:36.440000,0 days 01:14:58.306000,0 days 01:15:48.454000,0 days 01:16:24.894000,0 days 01:14:31.838000,,,2025-06-29 13:21:24.631
4,4.0,1.0,298.0,234.0,272.0,295.0,True,MEDIUM,4.0,True,McLaren,1,1.0,False,2025,70.254,0 days 00:00:17.564000,0 days 00:00:31.393000,0 days 00:00:21.297000,0 days 01:16:42.458000,0 days 01:17:13.851000,0 days 01:17:35.148000,0 days 01:16:24.860000,,,2025-06-29 13:23:17.653
4,5.0,1.0,289.0,232.0,275.0,281.0,True,MEDIUM,5.0,True,McLaren,1,1.0,False,2025,69.858,0 days 00:00:17.488000,0 days 00:00:31.430000,0 days 00:00:20.940000,0 days 01:17:52.636000,0 days 01:18:24.066000,0 days 01:18:45.006000,0 days 01:17:35.114000,,,2025-06-29 13:24:27.907
4,6.0,1.0,292.0,229.0,275.0,288.0,True,MEDIUM,6.0,True,McLaren,1,1.0,False,2025,69.46,0 days 00:00:17.460000,0 days 00:00:31.107000,0 days 00:00:20.893000,0 days 01:19:02.466000,0 days 01:19:33.573000,0 days 01:19:54.466000,0 days 01:18:44.972000,,,2025-06-29 13:25:37.765
4,7.0,1.0,294.0,229.0,273.0,286.0,True,MEDIUM,7.0,True,McLaren,1,1.0,False,2025,69.313,0 days 00:00:17.393000,0 days 00:00:30.992000,0 days 00:00:20.928000,0 days 01:20:11.859000,0 days 01:20:42.851000,0 days 01:21:03.779000,0 days 01:19:54.432000,,,2025-06-29 13:26:47.225
4,8.0,1.0,298.0,218.0,274.0,288.0,False,MEDIUM,8.0,True,McLaren,1,1.0,False,2025,69.394,0 days 00:00:17.407000,0 days 00:00:31.156000,0 days 00:00:20.831000,0 days 01:21:21.186000,0 days 01:21:52.342000,0 days 01:22:13.173000,0 days 01:21:03.745000,,,2025-06-29 13:27:56.538
4,9.0,1.0,300.0,222.0,272.0,293.0,False,MEDIUM,9.0,True,McLaren,1,1.0,False,2025,69.488,0 days 00:00:17.509000,0 days 00:00:31.005000,0 days 00:00:20.974000,0 days 01:22:30.682000,0 days 01:23:01.687000,0 days 01:23:22.661000,0 days 01:22:13.139000,,,2025-06-29 13:29:05.932
4,10.0,1.0,,222.0,271.0,293.0,False,MEDIUM,10.0,True,McLaren,1,1.0,False,2025,69.952,0 days 00:00:17.565000,0 days 00:00:31.344000,0 days 00:00:21.043000,0 days 01:23:40.226000,0 days 01:24:11.570000,0 days 01:24:32.613000,0 days 01:23:22.627000,,,2025-06-29 13:30:15.420
4,11.0,1.0,,222.0,272.0,290.0,False,MEDIUM,11.0,True,McLaren,1,1.0,False,2025,70.946,0 days 00:00:17.955000,0 days 00:00:31.890000,0 days 00:00:21.101000,0 days 01:24:50.568000,0 days 01:25:22.458000,0 days 01:25:43.559000,0 days 01:24:32.579000,,,2025-06-29 13:31:25.372
4,12.0,1.0,,223.0,271.0,294.0,False,MEDIUM,12.0,True,McLaren,1,1.0,False,2025,70.184,0 days 00:00:17.671000,0 days 00:00:31.361000,0 days 00:00:21.152000,0 days 01:26:01.230000,0 days 01:26:32.591000,0 days 01:26:53.743000,0 days 01:25:43.525000,,,2025-06-29 13:32:36.318
4,13.0,1.0,298.0,221.0,272.0,293.0,False,MEDIUM,13.0,True,McLaren,1,1.0,False,2025,70.046,0 days 00:00:17.656000,0 days 00:00:31.335000,0 days 00:00:21.055000,0 days 01:27:11.399000,0 days 01:27:42.734000,0 days 01:28:03.789000,0 days 01:26:53.709000,,,2025-06-29 13:33:46.502
4,15.0,1.0,,225.0,271.0,297.0,False,MEDIUM,15.0,True,McLaren,1,1.0,False,2025,71.274,0 days 00:00:17.978000,0 days 00:00:31.803000,0 days 00:00:21.493000,0 days 01:29:33.085000,0 days 01:30:04.888000,0 days 01:30:26.381000,0 days 01:29:15.073000,,,2025-06-29 13:36:07.866
4,16.0,1.0,290.0,229.0,272.0,288.0,False,MEDIUM,16.0,True,McLaren,1,1.0,False,2025,70.937,0 days 00:00:17.828000,0 days 00:00:31.704000,0 days 00:00:21.405000,0 days 01:30:44.209000,0 days 01:31:15.913000,0 days 01:31:37.318000,0 days 01:30:26.347000,,,2025-06-29 13:37:19.140
4,17.0,1.0,293.0,226.0,268.0,285.0,False,MEDIUM,17.0,True,McLaren,1,1.0,False,2025,70.841,0 days 00:00:17.763000,0 days 00:00:31.550000,0 days 00:00:21.528000,0 days 01:31:55.081000,0 days 01:32:26.631000,0 days 01:32:48.159000,0 days 01:31:37.284000,,,2025-06-29 13:38:30.077
4,18.0,1.0,297.0,227.0,274.0,290.0,False,MEDIUM,18.0,True,McLaren,1,1.0,False,2025,70.789,0 days 00:00:17.828000,0 days 00:00:31.530000,0 days 00:00:21.431000,0 days 01:33:05.987000,0 days 01:33:37.517000,0 days 01:33:58.948000,0 days 01:32:48.125000,,,2025-06-29 13:39:40.918
4,19.0,1.0,291.0,226.0,272.0,289.0,False,MEDIUM,19.0,True,McLaren,1,1.0,False,2025,71.043,0 days 00:00:17.754000,0 days 00:00:31.770000,0 days 00:00:21.519000,0 days 01:34:16.702000,0 days 01:34:48.472000,0 days 01:35:09.991000,0 days 01:33:58.914000,,,2025-06-29 13:40:51.707
4,20.0,1.0,301.0,229.0,,297.0,False,MEDIUM,20.0,True,McLaren,1,2.0,False,2025,73.982,0 days 00:00:17.709000,0 days 00:00:31.431000,0 days 00:00:24.842000,0 days 01:35:27.700000,0 days 01:35:59.131000,0 days 01:36:23.973000,0 days 01:35:09.957000,0 days 01:36:20.748000,,2025-06-29 13:42:02.750
4,21.0,2.0,295.0,229.0,271.0,290.0,False,HARD,1.0,True,McLaren,1,4.0,False,2025,87.815,0 days 00:00:35.278000,0 days 00:00:31.151000,0 days 00:00:21.386000,0 days 01:36:59.251000,0 days 01:37:30.402000,0 days 01:37:51.788000,0 days 01:36:23.939000,,0 days 01:36:42.709000,2025-06-29 13:43:16.732
4,22.0,2.0,290.0,229.0,273.0,288.0,False,HARD,2.0,True,McLaren,1,4.0,False,2025,69.921,0 days 00:00:17.591000,0 days 00:00:31.040000,0 days 00:00:21.290000,0 days 01:38:09.379000,0 days 01:38:40.419000,0 days 01:39:01.709000,0 days 01:37:51.754000,,,2025-06-29 13:44:44.547
4,23.0,2.0,293.0,231.0,272.0,288.0,False,HARD,3.0,True,McLaren,1,4.0,False,2025,70.012,0 days 00:00:17.642000,0 days 00:00:31.018000,0 days 00:00:21.352000,0 days 01:39:19.351000,0 days 01:39:50.369000,0 days 01:40:11.721000,0 days 01:39:01.675000,,,2025-06-29 13:45:54.468
4,24.0,2.0,,230.0,273.0,289.0,False,HARD,4.0,True,McLaren,1,4.0,False,2025,69.829,0 days 00:00:17.664000,0 days 00:00:30.918000,0 days 00:00:21.247000,0 days 01:40:29.385000,0 days 01:41:00.303000,0 days 01:41:21.550000,0 days 01:40:11.687000,,,2025-06-29 13:47:04.480
4,25.0,2.0,296.0,231.0,272.0,294.0,False,HARD,5.0,True,McLaren,1,3.0,False,2025,69.645,0 days 00:00:17.584000,0 days 00:00:30.910000,0 days 00:00:21.151000,0 days 01:41:39.134000,0 days 01:42:10.044000,0 days 01:42:31.195000,0 days 01:41:21.516000,,,2025-06-29 13:48:14.309
4,26.0,2.0,295.0,230.0,274.0,294.0,False,HARD,6.0,True,McLaren,1,1.0,False,2025,69.62,0 days 00:00:17.552000,0 days 00:00:30.894000,0 days 00:00:21.174000,0 days 01:42:48.747000,0 days 01:43:19.641000,0 days 01:43:40.815000,0 days 01:42:31.161000,,,2025-06-29 13:49:23.954
4,27.0,2.0,296.0,232.0,272.0,294.0,False,HARD,7.0,True,McLaren,1,1.0,False,2025,69.522,0 days 00:00:17.483000,0 days 00:00:30.880000,0 days 00:00:21.159000,0 days 01:43:58.298000,0 days 01:44:29.178000,0 days 01:44:50.337000,0 days 01:43:40.781000,,,2025-06-29 13:50:33.574
