DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,year,LapTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,Sector1SessionTime_s,Sector2SessionTime_s,Sector3SessionTime_s,LapStartTime_s,PitInTime_s,PitOutTime_s,LapStartDate_s
4,1.0,1.0,297.0,233.0,234.0,293.0,0,4,1.0,1,3,124,1.0,0,2025,0 days 00:00:00.000000088,0 days 00:00:00,0 days 00:00:31.326000,0 days 00:00:36.909000,0 days 00:00:00,0 days 01:12:00.537000,0 days 01:12:37.527000,8.8e-08,0.0,31.326,36.909,0.0,4320.537,4357.527,4268.287,0.0,0.0,0.0
4,2.0,1.0,131.0,186.0,212.0,165.0,1,4,2.0,1,3,4,1.0,0,2025,0 days 00:00:00.000000114,0 days 00:00:26.438000,0 days 00:00:53.661000,0 days 00:00:34.327000,0 days 01:13:03.884000,0 days 01:13:57.545000,0 days 01:14:31.872000,1.14e-07,26.438,53.661,34.327,4383.884,4437.545,4471.872,4357.412,0.0,0.0,0.0
4,3.0,1.0,137.0,159.0,271.0,172.0,1,4,3.0,1,3,41,1.0,0,2025,0 days 00:00:00.000000113,0 days 00:00:26.434000,0 days 00:00:50.148000,0 days 00:00:36.440000,0 days 01:14:58.306000,0 days 01:15:48.454000,0 days 01:16:24.894000,1.13e-07,26.434,50.148,36.44,4498.306,4548.454,4584.894,4471.838,0.0,0.0,0.0
4,4.0,1.0,298.0,234.0,272.0,295.0,1,4,4.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000070,0 days 00:00:17.564000,0 days 00:00:31.393000,0 days 00:00:21.297000,0 days 01:16:42.458000,0 days 01:17:13.851000,0 days 01:17:35.148000,7e-08,17.564,31.393,21.297,4602.458,4633.851,4655.148,4584.86,0.0,0.0,0.0
4,5.0,1.0,289.0,232.0,275.0,281.0,1,4,5.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.488000,0 days 00:00:31.430000,0 days 00:00:20.940000,0 days 01:17:52.636000,0 days 01:18:24.066000,0 days 01:18:45.006000,6.9e-08,17.488,31.43,20.94,4672.636,4704.066,4725.006,4655.114,0.0,0.0,0.0
4,6.0,1.0,292.0,229.0,275.0,288.0,1,4,6.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.460000,0 days 00:00:31.107000,0 days 00:00:20.893000,0 days 01:19:02.466000,0 days 01:19:33.573000,0 days 01:19:54.466000,6.9e-08,17.46,31.107,20.893,4742.466,4773.573,4794.466,4724.972,0.0,0.0,0.0
4,7.0,1.0,294.0,229.0,273.0,286.0,1,4,7.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.393000,0 days 00:00:30.992000,0 days 00:00:20.928000,0 days 01:20:11.859000,0 days 01:20:42.851000,0 days 01:21:03.779000,6.9e-08,17.393,30.992,20.928,4811.859,4842.851,4863.779,4794.432,0.0,0.0,0.0
4,8.0,1.0,298.0,218.0,274.0,288.0,0,4,8.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.407000,0 days 00:00:31.156000,0 days 00:00:20.831000,0 days 01:21:21.186000,0 days 01:21:52.342000,0 days 01:22:13.173000,6.9e-08,17.407,31.156,20.831,4881.186,4912.342,4933.173,4863.745,0.0,0.0,0.0
4,9.0,1.0,300.0,222.0,272.0,293.0,0,4,9.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.509000,0 days 00:00:31.005000,0 days 00:00:20.974000,0 days 01:22:30.682000,0 days 01:23:01.687000,0 days 01:23:22.661000,6.9e-08,17.509,31.005,20.974,4950.682,4981.687,5002.661,4933.139,0.0,0.0,0.0
4,10.0,1.0,0.0,222.0,271.0,293.0,0,4,10.0,1,3,1,1.0,0,2025,0 days 00:00:00.000000069,0 days 00:00:17.565000,0 days 00:00:31.344000,0 days 00:00:21.043000,0 days 01:23:40.226000,0 days 01:24:11.570000,0 days 01:24:32.613000,6.9e-08,17.565,31.344,21.043,5020.226,5051.57,5072.613,5002.627,0.0,0.0,0.0
